0;220132;29868;0;0;0
1;211892;27640;3016;2637;4815
2;205238;24349;5873;5107;9433
3;199886;20744;8332;7489;13549
4;195617;17394;10389;9669;16931
5;192195;14301;12059;11754;19691
6;189336;11595;13426;13805;21838
7;187048;9243;14501;15782;23426
8;185156;7364;15403;17659;24418
9;183475;5799;16098;19391;25237
10;182172;4561;16608;20965;25694
11;181019;3561;17014;22328;26078
12;179984;2725;17320;23596;26375
13;179124;2058;17521;24652;26645
14;178298;1599;17683;25597;26823
15;177569;1238;17799;26447;26947
16;176896;903;17879;27218;27104
17;176218;718;17948;27857;27259
18;175630;545;17990;28467;27368
19;175016;418;18004;28982;27580
20;174461;330;18004;29428;27777
21;173900;254;18015;29820;28011
22;173339;197;18013;30174;28277
23;172736;148;18013;30467;28636
24;172178;103;18012;30727;28980
25;171658;82;18010;30964;29286
26;171098;62;18002;31180;29658
27;170517;48;17997;31377;30061
28;169959;34;17986;31557;30464
29;169391;22;17974;31724;30889
30;168815;14;17974;31840;31357
