0;2223;277;0;0;0
1;2145;298;26;31;0
2;2074;307;65;54;0
3;2018;304;94;84;0
4;1960;305;124;111;0
5;1901;298;157;144;0
6;1847;296;184;173;0
7;1816;265;218;201;0
8;1778;255;249;218;0
9;1740;243;269;248;0
10;1704;242;292;262;0
11;1675;228;319;278;0
12;1651;209;341;299;0
13;1626;195;364;315;0
14;1605;194;376;325;0
15;1585;185;392;338;0
16;1568;171;413;348;0
17;1546;152;436;366;0
18;1527;147;450;376;0
19;1507;141;465;387;0
20;1491;136;476;397;0
21;1475;125;495;405;0
22;1457;115;504;424;0
23;1445;101;517;437;0
24;1436;92;528;444;0
25;1429;81;537;453;0
26;1421;71;547;461;0
27;1418;57;556;469;0
28;1411;55;562;472;0
29;1406;51;566;477;0
30;1399;49;572;480;0
